rango_general,rango_filtrado,ticker,categoria,etiqueta,moneda,bolsa,fecha_ultimo,obs,precio_local,precio,ret_1m,ret_3m,ret_6m,ret_12_1,ret_12m,vol_60d,dist_sma200,sobre_sma200,dd_max_1a,dist_max_52s,ratio_6m_vol,rango_3m,rango_6m,rango_12_1,momentum_compuesto,ret_3m_local,ret_6m_local,dist_sma200_local,subyacente,subyacente_sobre_sma200_local,max_salto_diario,estado,nota
1,1,AMD,accion_eua,Semis,USD,NMS,2026-09-24,501,629.26001,11149.7128,0.439768,0.217079,2.051934,1.611957,2.760611,0.674017,0.769022,True,-0.311763,0.0,3.044334,7.0,1.0,3.0,3.666667,0.210721,2.064031,0.734904,,,0.210367,ok,
2,2,TECL,apalancado,3x Tecnologia,USD,PCX,2026-09-24,500,229.229996,4061.673359,0.30165,0.118815,1.433321,0.499963,0.952427,0.808918,0.479331,True,-0.475893,-0.138661,1.771898,16.0,4.0,10.0,10.0,0.112969,1.442965,0.452294,XLK,True,0.21117,ok,
3,3,MU,accion_eua,Semis (memoria),USD,NMS,2026-09-24,501,1080.530029,19145.662066,0.240313,0.03611,1.72263,4.187948,5.434678,0.784233,0.679159,True,-0.391525,-0.09751,2.196579,35.0,2.0,1.0,12.666667,0.030697,1.733422,0.645151,,,0.175077,ok,
4,4,SPXL,apalancado,3x S&P 500,USD,PCX,2026-09-24,501,287.0,5085.286724,0.056951,0.123255,0.520595,0.265586,0.337662,0.30228,0.185165,True,-0.271407,-0.008702,1.72223,14.0,8.0,16.0,12.666667,0.117386,0.526622,0.164853,SPY,True,0.076383,ok,
5,5,GMEXICOB.MX,bmv,Mineria/cobre,MXN,MEX,2026-09-24,502,220.979996,220.979996,-0.060869,0.133462,0.231256,0.701882,0.59829,0.311235,0.106538,True,-0.210684,-0.062843,0.743027,13.0,23.0,5.0,13.666667,0.133462,0.231256,0.106538,,,0.162391,ok,
6,6,UPRO,apalancado,3x S&P 500,USD,PCX,2026-09-24,500,149.990005,2657.638271,0.054977,0.11936,0.513204,0.260489,0.329786,0.304445,0.182338,True,-0.271788,-0.010942,1.685706,15.0,10.0,17.0,14.0,0.113512,0.519202,0.162369,SPY,True,0.076504,ok,
7,7,TQQQ,apalancado,3x Nasdaq-100,USD,NGM,2026-09-24,501,78.580002,1392.340906,0.192284,0.079747,0.804944,0.25906,0.501158,0.563671,0.277547,True,-0.381592,-0.072592,1.428039,21.0,5.0,18.0,14.666667,0.074106,0.812098,0.255267,QQQ,True,0.143017,ok,
8,8,COPX,materias_primas,Mineras de cobre,USD,PCX,2026-09-24,500,86.25,1528.243833,-0.046479,0.149242,0.180841,0.596525,0.52232,0.389235,0.070011,True,-0.247452,-0.069501,0.464607,11.0,28.0,7.0,15.333333,0.143238,0.185522,0.052106,,,0.101181,ok,
9,9,AAPL,accion_eua,Hardware,USD,NMS,2026-09-24,501,335.920013,5952.089145,0.131199,0.153185,0.332026,0.13578,0.284793,0.287681,0.18976,True,-0.176492,0.0,1.154147,10.0,14.0,30.0,18.0,0.14716,0.337305,0.170175,,,0.07709,ok,
10,10,SSO,apalancado,2x S&P 500,USD,PCX,2026-09-24,501,70.260002,1244.920753,0.054742,0.087391,0.33844,0.167797,0.231725,0.193701,0.13904,True,-0.185311,0.0,1.747225,20.0,12.0,23.0,18.333333,0.081711,0.343745,0.120001,SPY,True,0.047142,ok,
11,11,QLD,apalancado,2x Nasdaq-100,USD,PCX,2026-09-24,501,96.099998,1702.773681,0.145211,0.069286,0.529869,0.193048,0.366292,0.371853,0.215937,True,-0.265454,-0.019212,1.424941,27.0,7.0,22.0,18.666667,0.0637,0.535933,0.195258,QQQ,True,0.089561,ok,
