ticker,nombre,mercado,sector,peso_o_capitalizacion,fuente,fecha
VESTA.MX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",MX,Bienes raíces,cap_mxn_mm=53789 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V.",MX,Consumo básico,peso_BMV_rank=4; cap_mxn_mm=860590 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
WALMEX.MX,"Wal-Mart de México, S.A.B. de C.V.",MX,Consumo básico,peso_BMV_rank=5; cap_mxn_mm=790753 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
AC.MX,"Arca Continental, S.A.B. de C.V.",MX,Consumo básico,peso_BMV_rank=9; cap_mxn_mm=335750 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
KOFUBL.MX,"Coca-Cola FEMSA, S.A.B. de C.V.",MX,Consumo básico,cap_mxn_mm=418508 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
BIMBOA.MX,"Grupo Bimbo, S.A.B. de C.V.",MX,Consumo básico,cap_mxn_mm=236639 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
KIMBERA.MX,"Kimberly-Clark de México, S. A. B. de C. V.",MX,Consumo básico,cap_mxn_mm=115923 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
SIGMAFA.MX,"Sigma Foods, S.A.B. de C.V.",MX,Consumo básico,cap_mxn_mm=100314 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
CHDRAUIB.MX,"Grupo Comercial Chedraui, S.A.B. de C.V.",MX,Consumo básico,cap_mxn_mm=82101 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GRUMAB.MX,"Gruma, S.A.B. de C.V.",MX,Consumo básico,cap_mxn_mm=79866 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
LIVEPOLC-1.MX,"El Puerto de Liverpool, S.A.B. de C.V.",MX,Consumo discrecional,cap_mxn_mm=143481 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
ALSEA.MX,"Alsea, S.A.B. de C.V.",MX,Consumo discrecional,cap_mxn_mm=34120 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
LACOMERUBC.MX,"La Comer, S.A.B. de C.V.",MX,Consumo discrecional,cap_mxn_mm=(no verificado: Yahoo sin dato),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GAPB.MX,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",MX,Industrial,peso_BMV_rank=8; cap_mxn_mm=223001 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
ASURB.MX,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",MX,Industrial,peso_BMV_rank=10; cap_mxn_mm=126660 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GCARSOA1.MX,"Grupo Carso, S.A.B. de C.V.",MX,Industrial,cap_mxn_mm=310925 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",MX,Industrial,cap_mxn_mm=99386 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",MX,Industrial,cap_mxn_mm=86127 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
ORBIA.MX,"Orbia Advance Corporation, S.A.B. de C.V.",MX,Industrial,cap_mxn_mm=37542 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
VOLARA.MX,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",MX,Industrial,cap_mxn_mm=13852 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GMEXICOB.MX,"Grupo México, S.A.B. de C.V.",MX,Materiales,peso_BMV_rank=1; cap_mxn_mm=1729197 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
CEMEXCPO.MX,"CEMEX, S.A.B. de C.V.",MX,Materiales,peso_BMV_rank=6; cap_mxn_mm=244580 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
PE&OLES.MX,"Industrias Peñoles, S.A.B. de C.V.",MX,Materiales,peso_BMV_rank=7; cap_mxn_mm=357215 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GCC.MX,"GCC, S.A.B. de C.V.",MX,Materiales,cap_mxn_mm=58941 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
ALPEKA.MX,"ALPEK, S.A.B. de C.V.",MX,Materiales,cap_mxn_mm=31673 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
LABB.MX,"Genomma Lab Internacional, S.A.B. de C.V.",MX,Salud,cap_mxn_mm=12574 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
AMXB.MX,"América Móvil, S.A.B. de C.V.",MX,Servicios de comunicación,peso_BMV_rank=3; cap_mxn_mm=1172178 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
MEGACPO.MX,"Megacable Holdings, S. A. B. de C. V.",MX,Servicios de comunicación,cap_mxn_mm=(no verificado: Yahoo sin dato),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V.",MX,Servicios financieros,peso_BMV_rank=2; cap_mxn_mm=(no verificado: Yahoo sin dato),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GFINBURO.MX,"Grupo Financiero Inbursa, S.A.B. de C.V.",MX,Servicios financieros,cap_mxn_mm=247361 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
BBAJIOO.MX,"Banco del Bajío, S.A., Institución de Banca Múltiple",MX,Servicios financieros,cap_mxn_mm=67350 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
Q.MX,"Quálitas Controladora, S.A.B. de C.V.",MX,Servicios financieros,cap_mxn_mm=60258 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
RA.MX,Regional S.A.B. de C.V.,MX,Servicios financieros,cap_mxn_mm=36825 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V.",MX,Servicios financieros,cap_mxn_mm=20988 (no verificado),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
GENTERA.MX,"Gentera, S.A.B. de C.V.",MX,Servicios financieros,cap_mxn_mm=(no verificado: Yahoo sin dato),"Muestra: MexDer aviso 2026-09-14 con base en comunicado S&P DJI 2026-09-11, vigente 2026-09-21; rank de peso: BMV '10 componentes principales por ponderacion' (consulta 2026-09-25); cap. y sector: Yahoo Finance quote API",2026-09-24
WMT,Walmart Inc.,US,Consumo básico,cap_usd_mm=856210,Ranking: companiesmarketcap.com EUA #15 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 104169 al 2026-08-26: dif -0.3% vs Yahoo,2026-09-24
COST,Costco Wholesale Corporation,US,Consumo básico,cap_usd_mm=397570,Ranking: companiesmarketcap.com EUA #26 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 909832 al 2026-05-27: dif -0.0% vs Yahoo,2026-09-24
KO,The Coca-Cola Company,US,Consumo básico,cap_usd_mm=379055,Ranking: companiesmarketcap.com EUA #29 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 21344 al 2026-07-27: dif +0.0% vs Yahoo,2026-09-24
PG,The Procter & Gamble Company,US,Consumo básico,cap_usd_mm=338367,Ranking: companiesmarketcap.com EUA #34 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 80424 al 2026-07-31: dif +0.1% vs Yahoo,2026-09-24
PM,Philip Morris International Inc.,US,Consumo básico,cap_usd_mm=298474,Ranking: companiesmarketcap.com EUA #40 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1413329 al 2026-07-17: dif +0.0% vs Yahoo,2026-09-24
AMZN,"Amazon.com, Inc.",US,Consumo discrecional,cap_usd_mm=2689891,Ranking: companiesmarketcap.com EUA #5 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1018724 al 2026-07-22: dif +0.0% vs Yahoo,2026-09-24
TSLA,"Tesla, Inc.",US,Consumo discrecional,cap_usd_mm=1492692,Ranking: companiesmarketcap.com EUA #9 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1318605 al 2026-07-16: dif -0.0% vs Yahoo,2026-09-24
HD,"The Home Depot, Inc.",US,Consumo discrecional,cap_usd_mm=291505,Ranking: companiesmarketcap.com EUA #41 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 354950 al 2026-08-18: dif +0.0% vs Yahoo,2026-09-24
XOM,ExxonMobil Holdings Corporation,US,Energía,cap_usd_mm=666705,Ranking: companiesmarketcap.com EUA #18 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 2115436 al 2026-06-30: dif +0.0% vs Yahoo,2026-09-24
