year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1967,1,0.3927,8.1879,6.8076,-2.9213,1.8882,-2.5547
1967,2,0.3743,0.7501,1.6269,-0.2950,3.5538,2.1825
1967,3,0.3693,4.0187,1.9875,-1.6769,1.8413,-1.1191
1967,4,0.3344,3.8808,-0.6677,-2.8961,1.0300,-1.6378
1967,5,0.3126,-4.2980,2.7533,2.1806,0.6005,0.1188
1967,6,0.2674,2.4249,6.3204,-2.0996,0.3509,-0.4146
1967,7,0.3153,4.5799,3.1479,2.2785,-0.6512,-0.1615
1967,8,0.3240,-0.9123,0.3678,1.9288,-0.5970,0.0648
1967,9,0.3177,3.1088,1.8040,-0.4063,0.7505,-0.9188
1967,10,0.3649,-3.0525,0.7508,-2.4370,3.2864,0.1061
1967,11,0.3416,0.3801,-0.0135,-2.8164,0.6972,0.0261
1967,12,0.3565,3.0246,4.5413,0.0945,0.6893,1.7038
1968,1,0.3934,-4.0237,5.2989,4.6367,-3.0127,1.0550
1968,2,0.3849,-3.7361,-1.9628,2.5737,-0.3791,2.9688
1968,3,0.3977,0.1889,-1.8949,-0.8208,1.8425,1.3102
1968,4,0.4263,9.0323,5.5115,-2.7344,3.6187,-1.8775
1968,5,0.4672,2.2558,6.7374,-2.3322,1.9930,-0.2332
1968,6,0.4436,0.6703,-0.4629,2.4961,-0.2262,0.0433
1968,7,0.4790,-2.6889,-1.1891,2.7300,-1.9582,3.5955
1968,8,0.4476,1.3325,2.1733,0.6447,-0.6678,1.5990
1968,9,0.4203,4.0601,1.4346,-0.5673,-3.4137,-1.1016
1968,10,0.4394,0.4286,-0.6002,2.6611,0.3868,2.4951
1968,11,0.4457,5.4113,2.7216,-1.3480,-0.4173,-0.9917
1968,12,0.4249,-3.9332,2.9675,2.6505,-0.6156,-0.4981
1969,1,0.5025,-1.2301,-0.3804,1.2088,-0.1174,0.2967
1969,2,0.4619,-5.8662,-3.8434,0.7782,0.9821,2.2765
1969,3,0.4802,2.6567,-0.3358,0.5044,2.0384,2.6271
1969,4,0.4859,1.5086,-0.1963,0.5138,2.0138,-0.1388
1969,5,0.5215,-0.1268,0.1988,1.5381,0.1959,0.2056
1969,6,0.5137,-7.1984,-4.7596,-0.6350,3.3344,2.5282
1969,7,0.5520,-7.0352,-2.9000,1.9885,2.0756,3.6221
1969,8,0.5890,4.6050,0.9881,-2.6530,0.5129,-2.0310
1969,9,0.5856,-2.9363,0.6792,0.0435,1.7112,2.6461
1969,10,0.5724,5.0822,2.9733,-1.4792,-1.4489,-1.6176
1969,11,0.5509,-3.8347,-2.0354,0.1890,2.8492,2.4150
