
"Banco de México"

"Subastas y colocación de valores"
"Valores Gubernamentales"

"Fecha de consulta: 25/09/2026 12:51:32"

""

"Título","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días"
"Periodo disponible","02/09/1982 - 24/09/2026"
"Periodicidad","Diaria"
"Cifra","Porcentajes"
"Unidad","Porcentajes"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF43936"
04/01/1990,40.77
11/01/1990,40.92
18/01/1990,41.19
25/01/1990,42.29
01/02/1990,45.97
08/02/1990,45.12
15/02/1990,44.86
22/02/1990,44.85
01/03/1990,45.45
08/03/1990,46.44
15/03/1990,47.30
22/03/1990,47.08
29/03/1990,46.95
05/04/1990,46.02
11/04/1990,46.01
19/04/1990,43.42
26/04/1990,43.10
03/05/1990,42.59
10/05/1990,36.58
17/05/1990,36.12
24/05/1990,36.26
31/05/1990,33.07
07/06/1990,32.43
14/06/1990,32.41
21/06/1990,32.41
28/06/1990,32.29
05/07/1990,31.71
12/07/1990,30.59
19/07/1990,30.30
26/07/1990,30.05
02/08/1990,30.33
09/08/1990,30.15
16/08/1990,29.34
23/08/1990,29.30
30/08/1990,29.50
06/09/1990,29.89
13/09/1990,30.10
20/09/1990,30.29
27/09/1990,30.30
04/10/1990,30.19
11/10/1990,29.84
18/10/1990,29.15
25/10/1990,27.82
31/10/1990,26.49
08/11/1990,26.85
15/11/1990,23.90
22/11/1990,23.90
29/11/1990,24.63
06/12/1990,25.50
13/12/1990,26.25
20/12/1990,26.12
27/12/1990,26.09
03/01/1991,24.30
10/01/1991,23.25
17/01/1991,23.50
24/01/1991,23.50
31/01/1991,23.63
07/02/1991,23.92
14/02/1991,23.70
21/02/1991,22.48
28/02/1991,22.48
07/03/1991,22.14
14/03/1991,21.74
20/03/1991,22.14
27/03/1991,22.14
01/04/1991,21.24
11/04/1991,21.24
18/04/1991,20.75
25/04/1991,21.24
02/05/1991,21.74
09/05/1991,21.13
16/05/1991,19.75
23/05/1991,18.50
30/05/1991,17.75
06/06/1991,17.34
13/06/1991,17.84
20/06/1991,17.51
27/06/1991,18.25
04/07/1991,18.63
11/07/1991,18.80
18/07/1991,18.45
25/07/1991,18.00
01/08/1991,17.48
08/08/1991,16.78
15/08/1991,16.97
22/08/1991,16.59
29/08/1991,15.75
05/09/1991,16.60
12/09/1991,17.60
19/09/1991,17.25
26/09/1991,18.75
03/10/1991,18.10
10/10/1991,18.00
17/10/1991,17.95
24/10/1991,17.40
31/10/1991,17.90
07/11/1991,17.25
14/11/1991,16.24
21/11/1991,16.50
28/11/1991,16.50
05/12/1991,16.11
11/12/1991,16.50
19/12/1991,17.00
26/12/1991,17.00
02/01/1992,15.19
09/01/1992,14.87
16/01/1992,16.00
23/01/1992,15.00
30/01/1992,15.50
06/02/1992,15.50
13/02/1992,14.75
20/02/1992,14.50
27/02/1992,13.50
05/03/1992,12.50
12/03/1992,11.00
19/03/1992,11.60
26/03/1992,12.26
02/04/1992,11.60
09/04/1992,12.50
15/04/1992,12.80
23/04/1992,12.30
30/04/1992,13.00
07/05/1992,13.25
14/05/1992,13.75
21/05/1992,13.90
28/05/1992,13.48
04/06/1992,14.51
11/06/1992,14.50
18/06/1992,14.59
25/06/1992,16.50
02/07/1992,16.50
09/07/1992,16.50
16/07/1992,16.20
23/07/1992,15.98
30/07/1992,15.96
06/08/1992,15.90
13/08/1992,16.94
20/08/1992,16.63
27/08/1992,16.50
03/09/1992,17.05
10/09/1992,17.05
17/09/1992,17.05
24/09/1992,19.00
01/10/1992,19.25
08/10/1992,19.50
15/10/1992,19.70
22/10/1992,19.50
29/10/1992,19.00
05/11/1992,18.80
12/11/1992,18.33
19/11/1992,17.95
26/11/1992,17.51
03/12/1992,16.97
10/12/1992,16.87
17/12/1992,17.00
24/12/1992,16.78
30/12/1992,16.77
07/01/1993,16.70
14/01/1993,16.50
21/01/1993,16.58
28/01/1993,17.10
04/02/1993,17.61
11/02/1993,17.58
18/02/1993,17.78
25/02/1993,17.93
04/03/1993,17.99
11/03/1993,17.38
18/03/1993,17.29
25/03/1993,17.21
01/04/1993,16.66
07/04/1993,16.42
15/04/1993,16.39
22/04/1993,16.07
29/04/1993,15.32
06/05/1993,14.91
13/05/1993,15.07
20/05/1993,15.11
27/05/1993,15.06
03/06/1993,15.34
10/06/1993,15.58
17/06/1993,15.77
24/06/1993,15.30
01/07/1993,14.42
08/07/1993,14.13
15/07/1993,13.88
22/07/1993,13.46
29/07/1993,13.37
05/08/1993,13.66
12/08/1993,13.91
19/08/1993,13.62
26/08/1993,13.53
02/09/1993,13.71
09/09/1993,13.51
15/09/1993,13.42
23/09/1993,13.80
30/09/1993,14.11
07/10/1993,13.72
14/10/1993,13.29
21/10/1993,12.47
28/10/1993,13.04
04/11/1993,13.46
11/11/1993,17.23
18/11/1993,13.97
25/11/1993,12.84
02/12/1993,13.05
09/12/1993,12.49
16/12/1993,11.85
23/12/1993,10.85
30/12/1993,10.67
06/01/1994,10.78
13/01/1994,10.45
20/01/1994,10.36
27/01/1994,10.48
03/02/1994,10.12
10/02/1994,9.72
17/02/1994,9.15
24/02/1994,8.81
03/03/1994,9.01
10/03/1994,9.30
17/03/1994,9.39
24/03/1994,9.34
30/03/1994,11.63
07/04/1994,14.31
14/04/1994,14.58
21/04/1994,18.00
28/04/1994,16.25
04/05/1994,16.49
12/05/1994,16.02
19/05/1994,16.41
26/05/1994,16.50
02/06/1994,16.24
09/06/1994,16.49
16/06/1994,16.33
23/06/1994,16.00
30/06/1994,15.84
07/07/1994,16.50
14/07/1994,17.10
21/07/1994,17.66
28/07/1994,17.00
04/08/1994,15.80
11/08/1994,15.15
18/08/1994,13.40
25/08/1994,13.49
01/09/1994,14.00
08/09/1994,14.23
15/09/1994,13.98
22/09/1994,13.43
29/09/1994,13.15
06/10/1994,13.15
13/10/1994,13.33
20/10/1994,13.80
27/10/1994,14.10
03/11/1994,13.97
10/11/1994,13.49
17/11/1994,13.45
24/11/1994,13.95
30/11/1994,13.85
08/12/1994,13.30
15/12/1994,13.75
22/12/1994,16.00
29/12/1994,31.00
05/01/1995,33.00
12/01/1995,40.00
19/01/1995,39.00
26/01/1995,37.01
02/02/1995,32.57
09/02/1995,35.20
16/02/1995,40.00
23/02/1995,59.00
02/03/1995,49.70
09/03/1995,57.99
16/03/1995,82.38
23/03/1995,82.65
30/03/1995,75.00
06/04/1995,74.50
12/04/1995,76.50
20/04/1995,76.50
27/04/1995,71.50
04/05/1995,69.44
11/05/1995,60.98
18/05/1995,58.26
25/05/1995,48.00
01/06/1995,51.99
08/06/1995,52.24
15/06/1995,47.00
22/06/1995,44.25
29/06/1995,40.75
06/07/1995,41.50
13/07/1995,42.97
20/07/1995,40.70
27/07/1995,38.59
03/08/1995,36.09
10/08/1995,35.25
17/08/1995,34.80
24/08/1995,34.15
31/08/1995,35.40
07/09/1995,33.90
14/09/1995,34.00
21/09/1995,31.97
28/09/1995,33.97
05/10/1995,38.00
11/10/1995,38.96
19/10/1995,41.98
26/10/1995,42.23
01/11/1995,43.37
09/11/1995,54.24
16/11/1995,59.99
23/11/1995,54.74
30/11/1995,53.46
07/12/1995,48.26
14/12/1995,50.31
21/12/1995,49.09
28/12/1995,46.81
04/01/1996,44.70
11/01/1996,40.74
18/01/1996,41.30
25/01/1996,37.23
01/02/1996,36.43
08/02/1996,36.22
15/02/1996,39.57
22/02/1996,40.53
29/02/1996,40.17
07/03/1996,42.27
14/03/1996,43.03
20/03/1996,41.55
28/03/1996,38.94
03/04/1996,36.99
11/04/1996,37.43
18/04/1996,34.55
25/04/1996,31.86
02/05/1996,31.61
09/05/1996,30.60
16/05/1996,28.31
23/05/1996,26.15
30/05/1996,25.58
06/06/1996,26.28
13/06/1996,28.98
20/06/1996,27.69
27/06/1996,28.29
04/07/1996,30.19
11/07/1996,31.99
18/07/1996,32.94
25/07/1996,29.89
01/08/1996,30.22
08/08/1996,26.97
15/08/1996,26.63
22/08/1996,24.33
29/08/1996,24.38
05/09/1996,25.47
12/09/1996,26.46
19/09/1996,23.38
26/09/1996,23.28
03/10/1996,23.06
10/10/1996,22.74
17/10/1996,25.90
24/10/1996,27.70
31/10/1996,29.34
07/11/1996,29.45
14/11/1996,29.89
21/11/1996,29.85
28/11/1996,29.08
05/12/1996,27.02
11/12/1996,27.29
19/12/1996,27.37
26/12/1996,27.25
02/01/1997,25.71
09/01/1997,24.24
16/01/1997,22.98
23/01/1997,22.93
30/01/1997,21.91
06/02/1997,21.45
13/02/1997,19.69
20/02/1997,19.46
27/02/1997,18.59
06/03/1997,21.16
13/03/1997,23.17
20/03/1997,21.70
26/03/1997,20.59
