bloque,serie,ventana,desde,hasta,n,media_pct_mes,t_nw6,ic95_inf,ic95_sup,veredicto,media_x12,cagr_o_difcagr
WML,Developed,W0,199011,202608,430,0.543535,2.800087,0.163079,0.923991,apoyo,6.522419,5.810367
WML,Developed,W1,200001,202512,312,0.352340,1.547380,-0.093946,0.798625,inconcluso,4.228077,3.320710
WML,Developed,W1b,200001,202608,320,0.365844,1.619739,-0.076845,0.808533,inconcluso,4.390125,3.455484
WML,Developed,W2,201001,202512,192,0.461615,2.694181,0.125799,0.797430,apoyo,5.539375,5.229953
WML,Developed,W2b,201001,202608,200,0.478850,2.710104,0.132543,0.825157,apoyo,5.746200,5.372458
WML,Developed,R98-pre,199011,199802,88,0.685682,2.912498,0.224253,1.147111,apoyo,8.228182,8.269335
WML,Developed,R98-post,199803,202608,342,0.506959,2.142437,0.043178,0.970740,apoyo,6.083509,5.186735
WML,Developed,FF12-in,199011,201103,245,0.618980,2.001008,0.012696,1.225263,apoyo,7.427755,6.498743
WML,Developed,FF12-out,201104,202608,185,0.443622,2.353032,0.074106,0.813137,apoyo,5.323459,4.905577
WML,Developed,AMP13-pre,199011,201306,272,0.633640,2.252066,0.082186,1.185094,apoyo,7.603676,6.751777
WML,Developed,AMP13-post,201307,202608,158,0.388418,1.865050,-0.019767,0.796602,inconcluso,4.661013,4.209119
WML,Developed,AMP09-post,200904,202608,209,0.272297,1.069289,-0.226812,0.771406,inconcluso,3.267560,2.553027
WML,Developed_ex_US,W0,199011,202608,430,0.662326,3.455443,0.286647,1.038004,apoyo,7.947907,7.481205
WML,Developed_ex_US,W1,200001,202512,312,0.571154,2.504625,0.124204,1.018103,apoyo,6.853846,6.291705
WML,Developed_ex_US,W1b,200001,202608,320,0.584406,2.585035,0.141312,1.027501,apoyo,7.012875,6.434641
WML,Developed_ex_US,W2,201001,202512,192,0.691927,4.269741,0.374308,1.009546,apoyo,8.303125,8.199180
WML,Developed_ex_US,W2b,201001,202608,200,0.708300,4.216245,0.379040,1.037560,apoyo,8.499600,8.354957
WML,Developed_ex_US,R98-pre,199011,199802,88,0.575795,1.942586,-0.005151,1.156742,inconcluso,6.909545,6.723166
WML,Developed_ex_US,R98-post,199803,202608,342,0.684591,2.983997,0.234934,1.134247,apoyo,8.215088,7.677125
WML,Developed_ex_US,FF12-in,199011,201103,245,0.642204,2.083597,0.038106,1.246302,apoyo,7.706449,7.024446
WML,Developed_ex_US,FF12-out,201104,202608,185,0.688973,3.825231,0.335958,1.041988,apoyo,8.267676,8.089104
WML,Developed_ex_US,AMP13-pre,199011,201306,272,0.706801,2.503999,0.153564,1.260039,apoyo,8.481618,7.878073
WML,Developed_ex_US,AMP13-post,201307,202608,158,0.585759,3.081288,0.213166,0.958353,apoyo,7.029114,6.801405
WML,Developed_ex_US,AMP09-post,200904,202608,209,0.513254,2.132181,0.041456,0.985052,apoyo,6.159043,5.645008
WML,Europe,W0,199011,202608,430,0.857674,4.272451,0.464221,1.251128,apoyo,10.292093,9.813180
WML,Europe,W1,200001,202512,312,0.745513,2.993153,0.257339,1.233686,apoyo,8.946154,8.198217
WML,Europe,W1b,200001,202608,320,0.748938,3.048713,0.267459,1.230416,apoyo,8.987250,8.245066
WML,Europe,W2,201001,202512,192,0.849271,4.839927,0.505352,1.193189,apoyo,10.191250,10.062358
WML,Europe,W2b,201001,202608,200,0.850600,4.773347,0.501339,1.199861,apoyo,10.207200,10.063386
WML,Europe,R98-pre,199011,199802,88,1.021136,3.964728,0.516337,1.525935,apoyo,12.253636,12.686334
WML,Europe,R98-post,199803,202608,342,0.815614,3.353486,0.338924,1.292304,apoyo,9.787368,9.085815
WML,Europe,FF12-in,199011,201103,245,0.906898,2.801775,0.272483,1.541313,apoyo,10.882776,10.199382
WML,Europe,FF12-out,201104,202608,185,0.792486,4.273715,0.429045,1.155928,apoyo,9.509838,9.303806
WML,Europe,AMP13-pre,199011,201306,272,0.936397,3.184269,0.360031,1.512763,apoyo,11.236765,10.627222
WML,Europe,AMP13-post,201307,202608,158,0.722152,3.549054,0.323344,1.120960,apoyo,8.665823,8.425798
WML,Europe,AMP09-post,200904,202608,209,0.626603,2.390552,0.112864,1.140342,apoyo,7.519234,6.860613
WML,Japan,W0,199011,202608,430,0.081698,0.369688,-0.351436,0.514832,inconcluso,0.980372,-0.127334
WML,Japan,W1,200001,202512,312,-0.042692,-0.182830,-0.500360,0.414975,inconcluso,-0.512308,-1.348860
WML,Japan,W1b,200001,202608,320,-0.020313,-0.086474,-0.480701,0.440076,inconcluso,-0.243750,-1.193160
WML,Japan,W2,201001,202512,192,0.049740,0.256553,-0.330251,0.429731,inconcluso,0.596875,0.084784
WML,Japan,W2b,201001,202608,200,0.081850,0.395340,-0.323935,0.487635,inconcluso,0.982200,0.279755
WML,Japan,R98-pre,199011,199802,88,-0.273068,-0.616424,-1.141308,0.595172,inconcluso,-3.276818,-4.526059
WML,Japan,R98-post,199803,202608,342,0.172982,0.675680,-0.328793,0.674758,inconcluso,2.075789,1.036918
WML,Japan,FF12-in,199011,201103,245,0.081755,0.233549,-0.604342,0.767852,inconcluso,0.981061,-0.398998
WML,Japan,FF12-out,201104,202608,185,0.081622,0.367857,-0.353263,0.516506,inconcluso,0.979459,0.233578
WML,Japan,AMP13-pre,199011,201306,272,0.140074,0.434038,-0.492449,0.772596,inconcluso,1.680882,0.346038
WML,Japan,AMP13-post,201307,202608,158,-0.018797,-0.081668,-0.469919,0.432324,inconcluso,-0.225570,-0.937028
WML,Japan,AMP09-post,200904,202608,209,-0.040861,-0.171836,-0.506924,0.425202,inconcluso,-0.490335,-1.279424
WML,Asia_Pacific_ex_Japan,W0,199011,202608,430,0.853302,3.991691,0.434322,1.272283,apoyo,10.239628,9.507945
WML,Asia_Pacific_ex_Japan,W1,200001,202512,312,0.881731,3.557791,0.395991,1.367470,apoyo,10.580769,10.304890
WML,Asia_Pacific_ex_Japan,W1b,200001,202608,320,0.888969,3.656913,0.412516,1.365422,apoyo,10.667625,10.377913
WML,Asia_Pacific_ex_Japan,W2,201001,202512,192,1.034479,4.860152,0.617302,1.451656,apoyo,12.413750,12.572270
WML,Asia_Pacific_ex_Japan,W2b,201001,202608,200,1.039950,4.989689,0.631455,1.448445,apoyo,12.479400,12.599851
WML,Asia_Pacific_ex_Japan,R98-pre,199011,199802,88,0.990227,3.085557,0.361229,1.619226,apoyo,11.882727,11.581010
WML,Asia_Pacific_ex_Japan,R98-post,199803,202608,342,0.818070,3.117533,0.303757,1.332383,apoyo,9.816842,8.980784
WML,Asia_Pacific_ex_Japan,FF12-in,199011,201103,245,0.672327,2.014167,0.018093,1.326560,apoyo,8.067918,6.736487
WML,Asia_Pacific_ex_Japan,FF12-out,201104,202608,185,1.092973,4.985599,0.663298,1.522648,apoyo,13.115676,13.289318
WML,Asia_Pacific_ex_Japan,AMP13-pre,199011,201306,272,0.788971,2.537283,0.179518,1.398423,apoyo,9.467647,8.317428
WML,Asia_Pacific_ex_Japan,AMP13-post,201307,202608,158,0.964051,4.274090,0.521967,1.406134,apoyo,11.568608,11.588175
WML,Asia_Pacific_ex_Japan,AMP09-post,200904,202608,209,0.823493,2.972843,0.280573,1.366413,apoyo,9.881914,9.545472
WML,North_America,W0,199011,202608,430,0.514419,2.296930,0.075467,0.953371,apoyo,6.173023,5.014761
WML,North_America,W1,200001,202512,312,0.237917,0.949379,-0.253255,0.729088,inconcluso,2.855000,1.418358
WML,North_America,W1b,200001,202608,320,0.247875,0.997208,-0.239311,0.735061,inconcluso,2.974500,1.505078
WML,North_America,W2,201001,202512,192,0.336198,1.727248,-0.045297,0.717692,inconcluso,4.034375,3.525588
WML,North_America,W2b,201001,202608,200,0.348200,1.740193,-0.043975,0.740375,inconcluso,4.178400,3.582019
WML,North_America,R98-pre,199011,199802,88,0.838750,2.968083,0.284884,1.392616,apoyo,10.065000,10.223623
WML,North_America,R98-post,199803,202608,342,0.430965,1.591269,-0.099854,0.961784,inconcluso,5.171579,3.714763
WML,North_America,FF12-in,199011,201103,245,0.661796,1.855030,-0.037436,1.361028,inconcluso,7.941551,6.409907
WML,North_America,FF12-out,201104,202608,185,0.319243,1.484818,-0.102159,0.740645,inconcluso,3.830919,3.195249
WML,North_America,AMP13-pre,199011,201306,272,0.634706,1.962474,0.000812,1.268600,apoyo,7.616471,6.212588
WML,North_America,AMP13-post,201307,202608,158,0.307342,1.260816,-0.170427,0.785111,inconcluso,3.688101,2.984239
WML,North_America,AMP09-post,200904,202608,209,0.134641,0.488702,-0.405344,0.674626,inconcluso,1.615694,0.701199
WML,Emerging,W0,199001,202608,440,0.848409,5.076180,0.520830,1.175988,apoyo,10.180909,9.999521
WML,Emerging,W1,200001,202512,312,0.747244,4.096357,0.389714,1.104774,apoyo,8.966923,8.836199
WML,Emerging,W1b,200001,202608,320,0.798813,4.212189,0.427119,1.170506,apoyo,9.585750,9.374364
WML,Emerging,W2,201001,202512,192,0.950208,5.744408,0.626002,1.274415,apoyo,11.402500,11.624634
WML,Emerging,W2b,201001,202608,200,1.024600,5.474941,0.657805,1.391395,apoyo,12.295200,12.395277
WML,Emerging,R98-pre,199001,199802,98,1.106020,3.660819,0.513869,1.698172,apoyo,13.272245,13.450347
WML,Emerging,R98-post,199803,202608,342,0.774591,3.947707,0.390021,1.159161,apoyo,9.295088,9.030177
WML,Emerging,R99-pre,199001,199908,116,0.890603,2.623890,0.225350,1.555856,apoyo,10.687241,10.507329
WML,Emerging,R99-post,199909,202608,324,0.833302,4.415980,0.463454,1.203151,apoyo,9.999630,9.818281
WML,Emerging,FF12-in,199011,201103,245,0.761184,3.061180,0.273825,1.248542,apoyo,9.134204,8.856840
WML,Emerging,FF12-out,201104,202608,185,1.022000,5.093555,0.628742,1.415258,apoyo,12.264000,12.324105
WML,Emerging,AMP13-pre,199001,201306,282,0.794645,3.457582,0.344193,1.245098,apoyo,9.535745,9.293872
WML,Emerging,AMP13-post,201307,202608,158,0.944367,4.281571,0.512067,1.376668,apoyo,11.332405,11.270311
WML,Emerging,AMP09-post,200904,202608,209,0.847464,3.487022,0.371127,1.323802,apoyo,10.169569,9.906221
BigHigh-Mkt,Developed,W0,199011,202608,430,0.151209,1.464066,-0.051216,0.353635,inconcluso,1.814512,1.562045
BigHigh-Mkt,Developed,W1,200001,202512,312,0.023237,0.196642,-0.208372,0.254846,inconcluso,0.278846,0.004992
BigHigh-Mkt,Developed,W2,201001,202512,192,0.095469,0.918844,-0.108173,0.299111,inconcluso,1.145625,1.005682
BigHigh-Mkt,Developed,AMP13-post,201307,202608,158,0.096899,0.748217,-0.156929,0.350726,inconcluso,1.162785,0.977565
BigHigh-Mkt,Developed_ex_US,W0,199011,202608,430,0.152023,1.481040,-0.049160,0.353206,inconcluso,1.824279,1.622794
BigHigh-Mkt,Developed_ex_US,W1,200001,202512,312,0.059968,0.508608,-0.171124,0.291060,inconcluso,0.719615,0.517928
BigHigh-Mkt,Developed_ex_US,W2,201001,202512,192,0.171146,1.788870,-0.016369,0.358661,inconcluso,2.053750,1.952308
BigHigh-Mkt,Developed_ex_US,AMP13-post,201307,202608,158,0.126266,1.110681,-0.096549,0.349081,inconcluso,1.515190,1.388116
BigHigh-Mkt,Europe,W0,199011,202608,430,0.197860,1.912036,-0.004960,0.400681,inconcluso,2.374326,2.138838
BigHigh-Mkt,Europe,W1,200001,202512,312,0.135128,1.067434,-0.112987,0.383243,inconcluso,1.621538,1.358942
BigHigh-Mkt,Europe,W2,201001,202512,192,0.205521,2.054772,0.009483,0.401559,apoyo,2.466250,2.333203
BigHigh-Mkt,Europe,AMP13-post,201307,202608,158,0.150823,1.308379,-0.075111,0.376757,inconcluso,1.809873,1.665864
BigHigh-Mkt,Japan,W0,199011,202608,430,0.066279,0.483239,-0.202541,0.335100,inconcluso,0.795349,0.398618
BigHigh-Mkt,Japan,W1,200001,202512,312,-0.102212,-0.757433,-0.366698,0.162275,inconcluso,-1.226538,-1.524932
BigHigh-Mkt,Japan,W2,201001,202512,192,-0.017865,-0.149973,-0.251332,0.215603,inconcluso,-0.214375,-0.404070
BigHigh-Mkt,Japan,AMP13-post,201307,202608,158,-0.022089,-0.158095,-0.295930,0.251753,inconcluso,-0.265063,-0.572607
BigHigh-Mkt,Asia_Pacific_ex_Japan,W0,199011,202608,430,0.238698,1.999382,0.004706,0.472689,apoyo,2.864372,2.525709
BigHigh-Mkt,Asia_Pacific_ex_Japan,W1,200001,202512,312,0.215833,1.621155,-0.045108,0.476774,inconcluso,2.590000,2.307270
BigHigh-Mkt,Asia_Pacific_ex_Japan,W2,201001,202512,192,0.204896,1.362193,-0.089914,0.499706,inconcluso,2.458750,2.200451
BigHigh-Mkt,Asia_Pacific_ex_Japan,AMP13-post,201307,202608,158,0.157722,0.893702,-0.188175,0.503618,inconcluso,1.892658,1.600581
BigHigh-Mkt,North_America,W0,199011,202608,430,0.179605,1.466676,-0.060407,0.419616,inconcluso,2.155256,1.777591
BigHigh-Mkt,North_America,W1,200001,202512,312,0.045096,0.335162,-0.218618,0.308810,inconcluso,0.541154,0.114905
BigHigh-Mkt,North_America,W2,201001,202512,192,0.070625,0.577992,-0.168864,0.310114,inconcluso,0.847500,0.652851
BigHigh-Mkt,North_America,AMP13-post,201307,202608,158,0.113291,0.746183,-0.184285,0.410868,inconcluso,1.359494,1.110055
BigHigh-Mkt,Emerging,W0,199001,202608,440,0.330341,3.742368,0.157334,0.503348,apoyo,3.964091,3.809699
BigHigh-Mkt,Emerging,W1,200001,202512,312,0.297212,3.146671,0.112088,0.482335,apoyo,3.566538,3.438128
BigHigh-Mkt,Emerging,W2,201001,202512,192,0.359896,3.364382,0.150234,0.569558,apoyo,4.318750,4.230704
BigHigh-Mkt,Emerging,AMP13-post,201307,202608,158,0.387468,2.401537,0.071244,0.703693,apoyo,4.649620,4.443242
