tabla,fila,campo,tipo,reportado,propio,dif,tolerancia,ok,exacto_al_redondeo
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,ultimo mes pre,categoria,201504,201504,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo x12,x12,1.06,1.060661,0.000661,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo t,t,1.89,1.894867,0.004867,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre x12,x12,1.14,1.135177,-0.004823,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre t,t,1.82,1.824917,0.004917,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 x12,x12,1.06,1.063462,0.003462,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 t,t,1.21,1.210307,0.000307,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult x12,x12,0.92,0.915235,-0.004765,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult t,t,1.04,1.038826,-0.001174,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post x12,x12,0.72,0.717333,-0.002667,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post t,t,0.56,0.559532,-0.000468,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",OP-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,ultimo mes pre,categoria,200804,200804,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo x12,x12,1.97,1.971995,0.001995,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo t,t,3.22,3.224021,0.004021,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,completo apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre x12,x12,2.58,2.580000,0.000000,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre t,t,3.19,3.194694,0.004694,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 x12,x12,1.30,1.296923,-0.003077,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 t,t,1.34,1.343761,0.003761,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult x12,x12,1.28,1.275235,-0.004765,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult t,t,1.35,1.346637,-0.003363,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post x12,x12,0.48,0.478356,-0.001644,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post t,t,0.72,0.723578,0.003578,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",NI-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo x12,x12,-0.09,-0.094795,-0.004795,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo t,t,-0.11,-0.106737,0.003263,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre x12,x12,-0.21,-0.210469,-0.000469,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre t,t,-0.20,-0.197004,0.002996,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 x12,x12,0.84,0.839615,-0.000385,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 t,t,0.52,0.519509,-0.000491,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult x12,x12,0.85,0.846771,-0.003229,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult t,t,0.53,0.532339,0.002339,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post x12,x12,0.15,0.146939,-0.003061,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post t,t,0.09,0.091872,0.001872,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",VAR-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,ultimo mes pre,categoria,200808,200808,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo x12,x12,2.39,2.386526,-0.003474,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo t,t,2.71,2.714290,0.004290,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,completo apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre x12,x12,3.11,3.113137,0.003137,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre t,t,3.09,3.089568,-0.000432,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,pre apoyo(negrita),categoria,True,True,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 x12,x12,2.09,2.094231,0.004231,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 t,t,1.42,1.423227,0.003227,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult x12,x12,2.15,2.145705,-0.004295,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult t,t,1.49,1.485450,-0.004550,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,2000-ult apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post x12,x12,0.55,0.554791,0.004791,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post t,t,0.32,0.319944,-0.000056,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",INV-LO-VW,post apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,ultimo mes pre,categoria,200602,200602,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo x12,x12,0.21,0.206552,-0.003448,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo t,t,0.31,0.308875,-0.001125,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,completo apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre x12,x12,0.24,0.237891,-0.002109,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre t,t,0.29,0.290608,0.000608,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,pre apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 x12,x12,0.79,0.790769,0.000769,0.12,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 t,t,0.68,0.677931,-0.002069,0.05,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-2025 apoyo(negrita),categoria,False,False,,igual,True,True
"1. Long-only VW: cartera ""buena"" menos mercado, en USD",RESVAR-LO-VW,2000-ult x12,x12,0.65,0.648527,-0.001473,0.12,True,True
