serie,ventana,desde,hasta,moneda,primaria,es_prueba,n,media_pct_mes,t_nw6,veredicto,nota
OP-LO-VW,completo,196307,202607,USD,0,1,757,0.088388,1.8949,inconcluso,
OP-LO-VW,pre,196307,201504,USD,0,1,622,0.094598,1.8249,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
OP-LO-VW,2000-2025,200001,202512,USD,1,1,312,0.088622,1.2103,inconcluso,
OP-LO-VW,2000-ult,200001,202607,USD,0,1,319,0.07627,1.0388,inconcluso,
OP-LO-VW,post,201505,202607,USD,1,1,135,0.059778,0.5595,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
OP-LS-VW,completo,196307,202607,USD,0,1,757,0.219406,1.6953,inconcluso,
OP-LS-VW,pre,196307,201504,USD,0,1,622,0.208489,1.4973,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
OP-LS-VW,2000-2025,200001,202512,USD,1,1,312,0.422949,1.8898,inconcluso,
OP-LS-VW,2000-ult,200001,202607,USD,0,1,319,0.354671,1.525,inconcluso,
OP-LS-VW,post,201505,202607,USD,1,1,135,0.269704,0.7935,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
NI-LO-VW,completo,196307,202607,USD,0,1,757,0.164333,3.224,apoyo,
NI-LO-VW,pre,196307,200804,USD,0,1,538,0.215,3.1947,apoyo,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
NI-LO-VW,2000-2025,200001,202512,USD,1,1,312,0.108077,1.3438,inconcluso,
NI-LO-VW,2000-ult,200001,202607,USD,0,1,319,0.10627,1.3466,inconcluso,
NI-LO-VW,post,200805,202607,USD,1,1,219,0.039863,0.7236,inconcluso,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
NI-LS-VW,completo,196307,202607,USD,0,1,757,0.48683,4.0486,apoyo,
NI-LS-VW,pre,196307,200804,USD,0,1,538,0.547955,4.1294,apoyo,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
NI-LS-VW,2000-2025,200001,202512,USD,1,1,312,0.40891,1.8705,inconcluso,
NI-LS-VW,2000-ult,200001,202607,USD,0,1,319,0.440972,2.0049,apoyo,
NI-LS-VW,post,200805,202607,USD,1,1,219,0.336667,1.3144,inconcluso,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
VAR-LO-VW,completo,196307,202607,USD,0,1,757,-0.0079,-0.1067,inconcluso,
VAR-LO-VW,pre,196307,200602,USD,0,1,512,-0.017539,-0.197,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
VAR-LO-VW,2000-2025,200001,202512,USD,1,1,312,0.069968,0.5195,inconcluso,
VAR-LO-VW,2000-ult,200001,202607,USD,0,1,319,0.070564,0.5323,inconcluso,
VAR-LO-VW,post,200603,202607,USD,1,1,245,0.012245,0.0919,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
VAR-LS-VW,completo,196307,202607,USD,0,1,757,0.130053,0.5107,inconcluso,
VAR-LS-VW,pre,196307,200602,USD,0,1,512,0.19707,0.66,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
VAR-LS-VW,2000-2025,200001,202512,USD,1,1,312,0.225513,0.5059,inconcluso,
VAR-LS-VW,2000-ult,200001,202607,USD,0,1,319,0.141599,0.316,inconcluso,
VAR-LS-VW,post,200603,202607,USD,1,1,245,-0.01,-0.0209,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
INV-LO-VW,completo,196307,202607,USD,0,1,757,0.198877,2.7143,apoyo,
INV-LO-VW,pre,196307,200808,USD,0,1,542,0.259428,3.0896,apoyo,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
INV-LO-VW,2000-2025,200001,202512,USD,1,1,312,0.174519,1.4232,inconcluso,
INV-LO-VW,2000-ult,200001,202607,USD,0,1,319,0.178809,1.4854,inconcluso,
INV-LO-VW,post,200809,202607,USD,1,1,215,0.046233,0.3199,inconcluso,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
INV-LS-VW,completo,196307,202607,USD,0,1,757,0.221955,1.7771,inconcluso,
INV-LS-VW,pre,196307,200808,USD,0,1,542,0.34131,2.3637,apoyo,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
INV-LS-VW,2000-2025,200001,202512,USD,1,1,312,0.208013,0.9341,inconcluso,
INV-LS-VW,2000-ult,200001,202607,USD,0,1,319,0.230376,1.0515,inconcluso,
INV-LS-VW,post,200809,202607,USD,1,1,215,-0.07893,-0.3301,inconcluso,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
RESVAR-LO-VW,completo,196307,202607,USD,0,1,757,0.017213,0.3089,inconcluso,
RESVAR-LO-VW,pre,196307,200602,USD,0,1,512,0.019824,0.2906,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
RESVAR-LO-VW,2000-2025,200001,202512,USD,0,1,312,0.065897,0.6779,inconcluso,
RESVAR-LO-VW,2000-ult,200001,202607,USD,0,1,319,0.054044,0.5561,inconcluso,
RESVAR-LO-VW,post,200603,202607,USD,0,1,245,0.011755,0.1214,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
RESVAR-LS-VW,completo,196307,202607,USD,0,1,757,0.173844,0.7201,inconcluso,
RESVAR-LS-VW,pre,196307,200602,USD,0,1,512,0.274727,0.9873,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
RESVAR-LS-VW,2000-2025,200001,202512,USD,0,1,312,0.229679,0.5556,inconcluso,
RESVAR-LS-VW,2000-ult,200001,202607,USD,0,1,319,0.102853,0.2407,inconcluso,
RESVAR-LS-VW,post,200603,202607,USD,0,1,245,-0.03698,-0.0794,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
OP-LS-EW,completo,196307,202607,USD,0,1,757,0.097199,0.7153,inconcluso,
OP-LS-EW,pre,196307,201504,USD,0,1,622,0.037347,0.2673,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
OP-LS-EW,2000-2025,200001,202512,USD,0,1,312,0.253622,0.9943,inconcluso,
OP-LS-EW,2000-ult,200001,202607,USD,0,1,319,0.264044,1.0576,inconcluso,
OP-LS-EW,post,201505,202607,USD,0,1,135,0.372963,0.9242,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
NI-LS-EW,completo,196307,202607,USD,0,1,757,0.867754,5.7465,apoyo,
NI-LS-EW,pre,196307,200804,USD,0,1,538,0.858067,5.3011,apoyo,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
NI-LS-EW,2000-2025,200001,202512,USD,0,1,312,0.937724,3.0162,apoyo,
NI-LS-EW,2000-ult,200001,202607,USD,0,1,319,0.970784,3.1778,apoyo,
NI-LS-EW,post,200805,202607,USD,0,1,219,0.891553,2.6296,apoyo,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
VAR-LS-EW,completo,196307,202607,USD,0,1,757,0.162906,0.625,inconcluso,
VAR-LS-EW,pre,196307,200602,USD,0,1,512,0.00918,0.0305,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
VAR-LS-EW,2000-2025,200001,202512,USD,0,1,312,0.395641,0.8501,inconcluso,
VAR-LS-EW,2000-ult,200001,202607,USD,0,1,319,0.405862,0.8903,inconcluso,
VAR-LS-EW,post,200603,202607,USD,0,1,245,0.484163,0.9683,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
INV-LS-EW,completo,196307,202607,USD,0,1,757,0.702668,6.6096,apoyo,
INV-LS-EW,pre,196307,200808,USD,0,1,542,0.828266,6.9493,apoyo,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
INV-LS-EW,2000-2025,200001,202512,USD,0,1,312,0.616218,3.0973,apoyo,
INV-LS-EW,2000-ult,200001,202607,USD,0,1,319,0.599373,3.0617,apoyo,
INV-LS-EW,post,200809,202607,USD,0,1,215,0.386047,1.8108,inconcluso,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
RMW,completo,196307,202607,USD,0,1,757,0.257081,2.857,apoyo,
RMW,pre,196307,201504,USD,0,1,622,0.263457,2.5871,apoyo,Fama-French 2015
RMW,2000-2025,200001,202512,USD,0,1,312,0.396795,2.4264,apoyo,
RMW,2000-ult,200001,202607,USD,0,1,319,0.373041,2.275,apoyo,
RMW,post,201505,202607,USD,0,1,135,0.227704,1.2252,inconcluso,Fama-French 2015
CMA,completo,196307,202607,USD,0,1,757,0.246565,2.8765,apoyo,
