bloque,concepto,readme,propio,diferencia,tolerancia,tipo,dentro,identica,nota
1. A1 (Report 1a),Year-End 2023: corte,31-dic-2023,31-dic-2023,,0,categorica,True,True,
1. A1 (Report 1a),Year-End 2023: 1a,59.68,59.68,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2023: 3a,79.78,79.78,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2023: 5a,78.68,78.68,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2023: 10a,87.42,87.42,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2023: 15a,87.98,87.98,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2023: 20a,93.03,93.03,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Focus Mid-Year 2024: corte,30-jun-2024,30-jun-2024,,0,categorica,True,True,
1. A1 (Report 1a),Focus Mid-Year 2024: ytd,1,57.31,56.31,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 1a,(sin cifra),57.05,,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 3a,(sin cifra),86.08,,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 5a,(sin cifra),77.26,,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 10a,(sin cifra),84.71,,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 15a,(sin cifra),89.54,,0.005,numerica,False,False,
1. A1 (Report 1a),Focus Mid-Year 2024: 20a,(sin cifra),91.77,,0.005,numerica,False,False,
1. A1 (Report 1a),Year-End 2024: corte,31-dic-2024,31-dic-2024,,0,categorica,True,True,
1. A1 (Report 1a),Year-End 2024: 1a,65.24,65.24,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2024: 3a,84.96,84.96,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2024: 5a,76.26,76.26,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2024: 10a,84.34,84.34,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2024: 15a,89.50,89.5,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2024: 20a,91.99,91.99,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: corte,30-jun-2025,30-jun-2025,,0,categorica,True,True,
1. A1 (Report 1a),Mid-Year 2025: ytd,54.31,54.31,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 1a,72.61,72.61,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 3a,64.87,64.87,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 5a,86.91,86.91,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 10a,85.98,85.98,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 15a,88.29,88.29,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2025: 20a,91.03,91.03,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: corte,31-dic-2025,31-dic-2025,,0,categorica,True,True,
1. A1 (Report 1a),Year-End 2025: 1a,78.78,78.78,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: 3a,66.84,66.84,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: 5a,88.96,88.96,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: 10a,85.59,85.59,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: 15a,89.93,89.93,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Year-End 2025: 20a,92.89,92.89,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: corte,30-jun-2026,30-jun-2026,,0,categorica,True,True,
1. A1 (Report 1a),Mid-Year 2026: ytd,67.18,67.18,0.0,0.005,numerica,True,True,
